token_pos,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26
0,8,3,4,11,19,13,28,2,12,2,10,4,11,5,5,9,0,2,5,1,16,0,0,10,1,9
1,8,7,0,29,18,1,11,8,12,13,10,12,6,5,5,9,20,0,24,7,1,6,0,7,21,5
2,0,7,6,8,35,15,20,0,12,13,6,29,6,5,5,0,2,0,4,7,6,8,2,4,2,2
3,6,14,6,8,0,8,14,0,23,13,10,13,6,28,7,0,1,0,4,7,18,8,15,39,16,1
4,8,14,0,12,3,14,20,2,0,19,16,33,6,5,3,1,24,3,4,7,32,8,36,20,16,12
5,8,20,0,1,7,14,7,2,4,10,13,8,6,5,7,25,7,0,9,4,13,8,27,3,10,10
6,4,0,5,22,12,12,8,6,41,27,0,29,1,4,6,10,2,30,24,7,2,8,2,5,1,15
7,4,8,0,3,1,1,6,13,22,12,4,26,9,0,9,16,6,14,2,22,2,0,6,34,1,9
8,4,8,0,3,12,16,8,6,35,27,8,29,1,9,0,10,2,18,1,15,12,21,6,22,1,9
9,2,20,0,6,16,14,11,2,4,14,16,8,6,27,12,18,24,0,4,16,0,8,0,29,6,10
10,25,19,7,13,10,6,8,6,17,27,28,12,6,9,6,15,1,18,13,7,17,14,4,22,1,22
11,5,7,4,2,6,5,20,8,0,1,15,12,6,5,8,3,20,0,2,5,10,8,0,20,0,13
12,0,7,2,8,15,4,4,8,25,1,15,12,6,3,6,0,15,13,4,5,4,8,5,13,12,6
13,6,27,3,1,11,13,11,11,0,10,34,5,10,7,25,6,0,14,2,10,1,0,3,8,3,11
14,4,0,1,22,17,12,8,6,13,28,29,13,1,4,4,16,0,8,2,5,17,8,6,1,1,36
15,18,8,0,3,12,12,6,6,35,30,8,7,1,9,0,15,26,12,0,0,6,11,2,1,2,30
16,20,8,0,3,12,16,8,3,35,17,8,7,1,9,0,15,15,18,14,15,12,21,6,5,1,9
17,6,14,0,1,6,14,11,4,4,14,16,8,6,18,4,5,0,11,4,15,8,8,5,29,11,7
18,9,19,7,13,10,16,8,6,35,30,8,29,1,4,6,15,40,40,14,7,30,21,6,5,1,24
19,6,7,3,1,11,13,11,30,7,9,2,5,1,5,24,2,6,32,1,4,1,0,1,20,0,14
20,5,5,1,8,17,33,9,6,13,19,4,10,1,22,0,0,6,4,26,10,6,14,15,1,12,2
21,6,10,6,8,1,8,9,14,13,24,20,10,1,32,20,0,6,4,7,7,18,6,15,16,16,1
22,23,17,3,47,7,2,2,11,34,8,27,1,1,20,1,6,2,3,5,7,2,0,12,12,16,12
23,9,5,24,2,2,4,11,1,0,10,20,16,19,22,9,20,29,1,1,7,2,0,3,38,15,8
24,3,0,5,2,1,22,11,0,22,1,4,2,13,0,6,8,27,1,1,7,2,0,3,19,15,9
25,3,4,8,19,2,3,11,2,28,8,27,3,16,22,1,6,30,1,1,7,18,6,19,15,16,10
26,2,4,3,1,2,3,11,2,7,10,33,16,16,22,14,6,45,1,5,7,18,6,10,16,9,10
27,2,6,3,1,2,29,7,1,7,10,13,8,1,37,25,6,7,0,8,4,18,10,10,3,17,10
28,2,2,20,1,2,2,1,11,4,10,13,8,1,37,25,6,6,3,8,7,9,10,10,3,17,10
29,2,2,11,6,2,2,1,11,4,10,13,8,1,37,25,6,6,0,8,4,18,12,8,3,17,16
